"","R","k"
"Breban","0.68 (0.5-0.92)","2.94 (0.3-Inf)"
"Cauchemez","0.63 (0.47-0.85)","0.61 (0.2-47.95)"
"Poletto","0.47 (0.32-0.72)","0.26 (0.11-0.87)"
