"","V1","V2"
"1",0.29,0.156826750764881
"2",0.289554162588819,0.16
"3",0.288874833038407,0.17
"4",0.288759931861108,0.18
"5",0.289062564725511,0.19
"6",0.289674617644025,0.2
"7",0.29,0.20380184248991
"8",0.290575418600833,0.21
"9",0.291701327253711,0.22
"10",0.292963240287126,0.23
"11",0.294322138304971,0.24
"12",0.295748140182473,0.25
"13",0.297218268932028,0.26
"14",0.298714806787285,0.27
"15",0.3,0.278491408565689
"16",0.300249882167108,0.28
"17",0.301934842553289,0.29
"18",0.303612185689268,0.3
"19",0.305274995706925,0.31
"20",0.306918011430512,0.32
"21",0.308537272164169,0.33
"22",0.31,0.339173984674913
"23",0.310144899044215,0.34
"24",0.311889548886344,0.35
"25",0.313599608846067,0.36
"26",0.315274043517065,0.37
"27",0.316912261523716,0.38
"28",0.318514021270789,0.39
"29",0.32,0.399487610064088
"30",0.320088700231948,0.4
"31",0.321797578524889,0.41
"32",0.323465865090031,0.42
"33",0.325094212735433,0.43
"34",0.326683379720769,0.44
"35",0.328234202067835,0.45
"36",0.329747571348863,0.46
"37",0.33,0.461696742736402
"38",0.331371821358607,0.47
"39",0.332986146549873,0.48
"40",0.334561230550875,0.49
"41",0.336098192036586,0.5
"42",0.337598142859205,0.51
"43",0.339062181896003,0.52
"44",0.34,0.526545044421632
"45",0.340552482861269,0.53
"46",0.342121132455173,0.54
"47",0.343652587623119,0.55
"48",0.345148010201575,0.56
"49",0.346608529420944,0.57
"50",0.348035241012252,0.58
"51",0.349429206744645,0.59
"52",0.35,0.594175077977305
"53",0.35089385873113,0.6
"54",0.352397401729816,0.61
"55",0.353867015879724,0.62
"56",0.355303768479571,0.63
"57",0.356708689045801,0.64
"58",0.358082770257956,0.65
"59",0.359426968979544,0.66
"60",0.36,0.664343999427701
"61",0.36084313652595,0.67
"62",0.362305123424355,0.68
"63",0.363735932995263,0.69
"64",0.365136517597399,0.7
"65",0.366507794301231,0.71
"66",0.367850646210883,0.72
"67",0.369165923761714,0.73
"68",0.37,0.7364628110122
"69",0.370520108888392,0.74
"70",0.371964933360101,0.75
"71",0.373380686321167,0.76
"72",0.374768218176898,0.77
"73",0.376128348102958,0.78
"74",0.377461865325338,0.79
"75",0.378769530351979,0.8
"76",0.38,0.809592422248451
"77",0.380060172692257,0.81
"78",0.381513808055314,0.82
"79",0.382939826202698,0.83
"80",0.3843389966354,0.84
"81",0.385712061436538,0.85
"82",0.387059736408638,0.86
"83",0.388382712161303,0.87
"84",0.389681655151122,0.88
"85",0.39,0.882489330375058
"86",0.391119708634491,0.89
"87",0.392585015698123,0.9
"88",0.394024220308169,0.91
